date,Tmean,RAIN,WIND
1995-01-31,9.2,19.9,1.5
1995-02-28,9.0,28.0,1.4
1995-03-31,11.5,44.5,1.2
1995-04-30,17.6,80.4,1.3
1995-05-31,22.6,0.7,1.4
1995-06-30,26.9,20.0,2.0
1995-07-31,29.1,1.0,1.6
1995-08-31,29.5,5.6,1.3
1995-09-30,25.4,22.3,1.1
1995-10-31,17.8,47.6,0.8
1995-11-30,15.4,55.0,1.1
1995-12-31,8.7,28.4,1.0
1996-01-31,6.2,29.9,0.3
1996-02-29,8.4,35.5,1.5
1996-03-31,8.7,71.2,1.6
1996-04-30,14.4,56.3,2.2
1996-05-31,22.8,20.8,1.5
1996-06-30,25.7,37.1,1.6
1996-07-31,29.7,2.4,1.7
1996-08-31,29.5,7.1,1.4
1996-09-30,26.3,31.0,1.1
1996-10-31,19.4,53.0,1.7
1996-11-30,12.4,35.8,0.6
1996-12-31,10.9,14.2,1.5
1997-01-31,8.6,26.2,2.5
1997-02-28,7.4,34.0,3.3
1997-03-31,9.3,98.4,2.5
1997-04-30,17.2,5.4,1.9
1997-05-31,22.5,40.8,1.8
1997-06-30,27.8,21.5,2.0
1997-07-31,29.3,2.0,1.8
1997-08-31,30.3,7.0,1.4
1997-09-30,25.2,15.2,1.3
1997-10-31,21.9,39.2,1.1
1997-11-30,12.6,56.9,0.6
1997-12-31,10.1,66.5,1.8
1998-01-31,6.6,85.0,1.9
1998-02-28,6.8,52.3,2.0
1998-03-31,11.5,35.4,2.2
1998-04-30,17.7,76.3,1.1
1998-05-31,22.0,26.0,1.8
1998-06-30,29.4,2.2,1.9
1998-07-31,29.1,87.3,2.0
1998-08-31,29.6,36.3,1.5
1998-09-30,25.1,49.9,1.1
1998-10-31,19.2,29.2,0.8
1998-11-30,15.4,7.0,0.6
1998-12-31,11.9,12.2,1.7
1999-01-31,8.3,83.1,0.9
1999-02-28,12.0,34.3,2.1
1999-03-31,11.0,51.5,1.4
1999-04-30,16.2,38.5,1.8
1999-05-31,20.7,31.9,1.7
1999-06-30,26.5,0.0,2.3
1999-07-31,28.0,45.6,1.6
1999-08-31,31.2,4.6,1.9
1999-09-30,25.2,35.2,1.1
1999-10-31,20.6,65.8,1.5
1999-11-30,12.6,47.4,2.1
1999-12-31,10.7,27.7,2.2
2000-01-31,7.5,53.7,2.7
2000-02-29,9.2,80.5,3.2
2000-03-31,10.1,74.8,2.6
2000-04-30,19.8,1.0,2.0
2000-05-31,22.8,10.2,2.9
2000-06-30,26.2,29.8,2.3
2000-07-31,30.1,10.1,2.7
2000-08-31,30.3,58.0,2.1
2000-09-30,26.6,99.4,1.9
2000-10-31,18.7,30.7,1.0
2000-11-30,12.5,9.3,1.2
2000-12-31,10.8,57.2,1.7
2001-01-31,7.3,10.9,1.5
2001-02-28,10.7,33.2,2.7
2001-03-31,13.2,76.0,1.9
2001-04-30,18.0,11.3,1.8
2001-05-31,23.5,14.5,1.9
2001-06-30,27.2,0.4,1.7
2001-07-31,29.0,25.9,3.5
2001-08-31,29.7,25.0,3.7
2001-09-30,26.3,11.7,2.8
2001-10-31,19.5,15.7,2.3
2001-11-30,15.3,37.5,3.8
2001-12-31,12.0,23.1,3.8
2002-01-31,8.1,51.4,3.2
2002-02-28,9.7,24.9,4.2
2002-03-31,13.4,32.3,4.2
2002-04-30,15.1,105.7,2.7
2002-05-31,19.9,17.1,3.1
2002-06-30,26.4,25.0,3.8
2002-07-31,30.5,12.1,3.3
2002-08-31,29.3,87.3,2.5
2002-09-30,27.6,8.0,1.8
2002-10-31,23.4,33.8,2.2
2002-11-30,14.9,52.4,1.9
2002-12-31,6.2,63.4,2.9
2003-01-31,8.7,30.7,2.7
2003-02-28,8.4,55.3,3.9
2003-03-31,9.1,90.5,3.8
2003-04-30,13.7,71.9,3.7
2003-05-31,19.7,39.9,3.5
2003-06-30,24.5,8.8,3.7
2003-07-31,27.9,13.9,3.4
2003-08-31,29.6,10.3,3.2
2003-09-30,26.0,6.3,3.6
2003-10-31,22.8,30.1,2.4
2003-11-30,13.8,80.4,2.3
2003-12-31,11.3,46.8,4.7
2004-01-31,10.5,67.5,4.0
2004-02-29,11.8,14.6,3.9
2004-03-31,12.6,68.1,3.3
2004-04-30,14.8,101.6,2.5
2004-05-31,21.6,33.9,3.0
2004-06-30,26.8,14.5,3.2
2004-07-31,28.0,36.4,3.9
2004-08-31,30.5,11.0,3.5
2004-09-30,26.1,30.9,3.2
2004-10-31,19.8,67.0,2.2
2004-11-30,15.4,80.2,2.8
2004-12-31,8.4,62.9,3.1
2005-01-31,7.9,83.2,3.8
2005-02-28,7.3,47.8,3.6
2005-03-31,12.5,49.7,4.2
2005-04-30,16.4,20.8,3.5
2005-05-31,22.1,66.5,4.1
2005-06-30,26.6,17.6,4.2
2005-07-31,30.5,0.4,4.1
2005-08-31,29.5,45.4,3.8
2005-09-30,26.8,20.1,2.8
2005-10-31,21.4,30.9,3.8
2005-11-30,13.6,76.2,3.7
2005-12-31,11.5,47.5,4.4
